"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-28","4.70",",,W",,,"0.00",",,W,2400","0.0",",,W,","5.9",",,W,",,,"24",",,W","9",",,W",,,"  280",",,W","  330",",,W","15.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-03-01","4.47",",,W",,,"0.00",",,W,2400","0.0",",,W,","5.9",",,W,",,,"37",",,W","20",",,W",,,"  260",",,W","  260",",,W","12.1",",,W","16.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-03-02","3.80",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","5.1",",,W,",,,"40",",,W","32",",,W",,,"  260",",,W","  250",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-03-03","6.71",",,W",,,"0.04",",,W,2400","0.1",",,W,","5.1",",,W,",,,"32",",,W","17",",,W",,,"  360",",,W","  340",",,W","16.1",",,W","23.9",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-03-04","4.70",",,W",,,"0.00",",,W,2400","0.0",",,W,","5.1",",,W,",,,"29",",,W","13",",,W",,,"   40",",,W","   40",",,W","13.0",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-03-05","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.9",",,W,",,,"39",",,W","26",",,W",,,"   30",",,W","   40",",,W","17.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-03-06","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.9",",,W,",,,"31",",,W","16",",,W",,,"   50",",,W","   10",",,W","17.0",",,W","23.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-03-07","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.9",",,W,",,,"37",",,W","26",",,W",,,"   60",",,W","   50",",,W","16.1",",,W","21.9",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-03-08","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.1",",,W,",,,"57",",,W","35",",,W",,,"  290",",,W","  290",",,W","17.0",",,W","27.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-03-09","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W,","2.0",",,W,",,,"44",",,W","36",",,W",,,"  320",",,W","  310",",,W","15.0",",,W","21.9",",,W",,,,,,,,,,,,
